Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-11-07,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-11-06,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-11-05,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-11-04,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-11-01,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-31,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-30,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-29,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-28,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-25,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-24,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-22,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-21,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-18,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-17,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-16,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-15,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-14,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-10,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-09,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-08,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-07,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-04,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-03,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-02,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-10-01,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-09-30,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-09-27,"7.000,00",",",",","7.000,00",0.0,0,0,0
2024-09-26,"7.000,00",",",",","7.000,00",0.0,0,0,0
