Date,Price,Min,Max,AvgPrice,chg,Volume,TurnoverBEST,TurnoverTotal
2025-01-15,90.0,0,0,90.0,0.00,0,0,0
2025-01-14,90.0,0,0,90.0,0.00,0,0,0
2025-01-13,90.0,0,0,90.0,0.00,0,0,0
2025-01-10,90.0,0,0,90.0,0.00,0,0,0
2025-01-09,90.0,0.0,0.0,90.0,0.00,0,0,0
2025-01-08,90.0,0.0,0.0,90.0,0.00,0,0,0
2025-01-03,90.0,0.0,0.0,90.0,0.00,0,0,0
2025-01-02,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-30,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-27,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-26,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-25,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-24,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-23,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-20,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-19,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-18,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-17,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-16,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-13,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-12,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-11,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-10,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-06,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-05,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-04,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-03,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-12-02,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-29,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-28,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-27,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-26,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-25,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-22,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-21,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-20,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-19,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-18,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-15,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-14,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-13,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-12,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-11,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-08,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-07,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-06,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-05,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-04,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-11-01,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-31,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-30,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-29,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-28,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-25,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-24,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-22,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-21,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-18,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-17,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-16,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-15,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-14,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-10,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-09,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-08,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-07,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-04,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-03,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-02,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-10-01,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-30,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-27,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-26,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-25,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-24,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-23,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-20,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-19,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-18,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-17,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-16,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-13,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-12,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-11,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-10,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-06,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-05,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-04,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-03,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-09-02,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-30,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-29,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-27,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-26,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-23,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-22,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-21,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-20,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-19,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-16,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-15,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-14,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-13,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-12,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-09,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-08,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-07,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-06,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-05,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-08-01,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-31,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-30,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-29,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-26,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-25,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-24,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-23,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-22,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-19,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-18,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-17,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-16,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-15,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-12,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-11,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-10,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-09,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-08,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-05,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-04,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-03,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-02,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-07-01,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-28,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-27,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-26,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-25,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-24,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-20,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-19,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-18,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-17,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-14,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-13,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-12,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-11,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-10,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-07,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-06,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-05,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-04,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-06-03,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-31,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-30,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-29,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-28,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-27,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-23,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-22,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-21,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-20,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-17,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-16,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-15,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-14,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-13,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-10,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-09,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-07,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-05-02,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-30,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-29,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-26,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-25,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-23,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-22,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-19,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-18,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-17,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-16,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-15,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-12,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-11,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-09,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-08,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-05,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-04,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-03,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-02,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-04-01,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-03-29,90.0,0.0,0.0,90.0,0.00,0,0,0
2024-03-28,90.0,90.0,90.0,90.0,-10.00,"1,373","12,357,000","12,357,000"
2024-03-27,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-26,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-25,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-22,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-21,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-20,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-19,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-18,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-15,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-14,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-13,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-12,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-11,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-08,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-07,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-06,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-05,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-04,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-03-01,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-29,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-28,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-27,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-26,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-23,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-22,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-21,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-20,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-19,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-16,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-15,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-14,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-13,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-12,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-09,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-08,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-07,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-06,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-05,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-02,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-02-01,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-31,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-30,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-29,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-26,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-25,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-24,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-23,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-22,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-18,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-17,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-16,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-15,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-12,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-11,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-10,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-09,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-05,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-04,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-03,100.0,0.0,0.0,100.0,0.00,0,0,0
2024-01-02,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-28,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-27,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-26,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-25,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-22,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-21,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-20,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-19,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-18,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-15,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-14,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-13,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-12,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-11,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-07,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-06,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-05,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-04,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-12-01,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-30,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-29,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-28,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-27,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-24,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-23,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-22,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-21,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-20,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-17,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-16,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-15,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-14,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-13,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-10,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-09,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-08,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-07,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-06,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-03,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-02,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-11-01,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-31,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-30,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-27,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-26,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-25,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-24,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-20,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-19,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-18,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-17,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-16,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-13,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-12,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-10,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-09,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-06,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-05,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-04,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-03,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-10-02,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-29,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-28,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-27,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-26,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-25,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-22,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-21,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-20,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-19,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-18,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-15,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-14,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-13,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-12,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-11,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-07,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-06,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-05,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-04,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-09-01,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-31,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-30,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-29,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-25,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-24,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-23,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-22,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-21,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-18,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-17,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-16,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-15,100.0,0.0,0.0,100.0,0.00,0,0,0
2023-08-14,100.0,0.0,0.0,100.0,0.00,0,0,0
